ID,Text,
194_UK_DocL_V1_ConsrvationOfFuelAndPower,"When installing or renovating thermal elements, the element being installed should be draught-proofed, and air-leakage gaps should be filled.",
195_UK_DocL_V1_ConsrvationOfFuelAndPower,"When installing windows, roof windows, rooflights or doors (all of which are controlled fittings), the controlled fitting should be well fitted and reasonably draught-proof.",
201_UK_DocL_V1_ConsrvationOfFuelAndPower,"In an existing system, when a boiler or hot water storage vessel is replaced, any accessible pipes in the dwelling should be insulated.",
205_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where pipework is above ground, the performance of the pipe insulation should be at least as high as the insulating performance of pipework in the buried part of the system.",
208_UK_DocL_V1_ConsrvationOfFuelAndPower,"For sizes of cylinder not listed, the heat loss from the cylinder should not exceed (16.66  8.33  V0.4)/(1000  24), where V is the volume in litres.",
214_UK_DocL_V1_ConsrvationOfFuelAndPower,Where a system for onsite electricity generation is installed (a) reasonable provision must be made to ensure that (i) the system and its electrical output are appropriately sized for the site and available infrastructure; (ii) the system has effective controls; and (b) it must be commissioned by testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances.,
222_UK_DocL_V1_ConsrvationOfFuelAndPower,The test data should be certified by a notified body.,
231_UK_DocL_V1_ConsrvationOfFuelAndPower,"If renewable technology such as a wind turbine or photovoltaic array is replaced, the new system should have an electrical output that is at least the same as that of the original installation.",
232_UK_DocL_V1_ConsrvationOfFuelAndPower,Facilitating future connection to any local district heat networks should be considered (e.g. providing capped off connections in pipework to allow later connection to a local district heat network).,
237_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where a gas combination boiler is used, the boiler type should be selected to modulate down to the typical heating load of the dwelling.",
238_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where a wet heating system is either: a. newly installed b. fully replaced in an existing building, including the heating appliance, emitters and associated pipework all parts of the system including pipework and emitters should be sized to allow the space heating system to operate effectively and in a manner that meets the heating needs of the dwelling, at a maximum flow temperature of 55C or lower.",
239_UK_DocL_V1_ConsrvationOfFuelAndPower,"where there is insufficient space for larger radiators, or the existing distribution system is provided with higher temperature heat from a low carbon district heat network), the space heating system should be designed to the lowest design temperature possible that will still meet the heating needs of the dwelling.",
243_UK_DocL_V1_ConsrvationOfFuelAndPower,Heat pumps should be selected to meet the full space heating requirement at the design condition chosen for heat loss calculations.,
246_UK_DocL_V1_ConsrvationOfFuelAndPower,"For wet heating systems in new dwellings with a floor area of 150m2 or greater, a minimum of two independently controlled heating circuits should be provided.",
247_UK_DocL_V1_ConsrvationOfFuelAndPower,System controls should be wired so that when there is no demand for space heating or hot water the heating appliance and pump are switched off.,
248_UK_DocL_V1_ConsrvationOfFuelAndPower,"For space heating systems, temperature control should be installed for the heating appliance.",
250_UK_DocL_V1_ConsrvationOfFuelAndPower,"For heating systems in new dwellings, or when a heat generator such as a boiler is replaced in an existing dwelling, each room should be provided with thermostatic room controls.",
256_UK_DocL_V1_ConsrvationOfFuelAndPower,"If work is carried out on a system that includes a boiler, a boiler interlock should be installed.",
262_UK_DocL_V1_ConsrvationOfFuelAndPower,"If a gas-fired combination boiler is installed in an existing dwelling, at least one of the following energy efficiency measures, appropriate to the system, should be installed.",
265_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where controls are external to the heater, the system should be provided with a time switch/programmer and room thermostat, or programmable room thermostat.",
268_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where controls are integrated in the heater, the system should be provided with a time switch/programmer and room temperature sensor linked to heater firing and fan speed control.",
269_UK_DocL_V1_ConsrvationOfFuelAndPower,Independent temperature control of the hot water circuit should be implemented with a cylinder thermostat and a timing device.,
273_UK_DocL_V1_ConsrvationOfFuelAndPower,The number of appliances should not exceed one per 100m2 of dwelling floor area.,
277_UK_DocL_V1_ConsrvationOfFuelAndPower,"For an electrically operated appliance, an integral remote or thermostatic control should be provided.",
279_UK_DocL_V1_ConsrvationOfFuelAndPower,Automatic control of input charge should be provided.,
280_UK_DocL_V1_ConsrvationOfFuelAndPower,"The rate of heat release from the appliance should be adjustable, using an adjustable damper or other thermostatically controlled method.",
287_UK_DocL_V1_ConsrvationOfFuelAndPower,An existing district heat network that is being connected to a new dwelling should not have a CO2 emission factor for delivered heat to the dwelling which is greater than 0.350kgCO2/kWh.,
292_UK_DocL_V1_ConsrvationOfFuelAndPower,The design temperature difference for the community heating primary circuit should be a minimum of 20C.,
293_UK_DocL_V1_ConsrvationOfFuelAndPower,Variable volume control systems should be used to reduce the volume of water and the pressure difference required from the pumps under part load.,
295_UK_DocL_V1_ConsrvationOfFuelAndPower,District heat networks and community heating systems should be designed to accommodate heat meter(s) for each dwelling.,
297_UK_DocL_V1_ConsrvationOfFuelAndPower,The heating plant emission rate of the micro combined heat and power system (microCHP) should be no greater than the emission rate of a regular boiler using the same fuel as the microCHP.,
299_UK_DocL_V1_ConsrvationOfFuelAndPower,Heating systems for screed floors that are greater than 65mm thick should automatically reduce the room temperature at night or when the room is unoccupied.,
302_UK_DocL_V1_ConsrvationOfFuelAndPower,Ground floors and those in contact with the outside of the dwelling should be insulated to limit heat losses to not more than 10W/m2.,
303_UK_DocL_V1_ConsrvationOfFuelAndPower,"The heat loss from the floor should be calculated using the sum of the thermal resistance of the floor finish and the underlying heated layer, multiplied by 10.",
304_UK_DocL_V1_ConsrvationOfFuelAndPower,Under-floor heating systems intended for intermittent or cyclical operation and/or installed over unheated rooms should be separated from the structural floor by a layer of insulation with a thermal resistance of at least 1.25(m2K)/W.,
309_UK_DocL_V1_ConsrvationOfFuelAndPower,"Electric cables for underfloor heating should be installed within screeds as follows: For direct electric systems, within screeds not exceeding 60mm; For night energy storage systems, within screeds of at least 65mm.",
314_UK_DocL_V1_ConsrvationOfFuelAndPower,Programmable room thermostats with an override feature should be provided for all direct electric zones of the electric underfloor heating system.,
315_UK_DocL_V1_ConsrvationOfFuelAndPower,"For heat pump installations in which there are other heat sources available to the same building, each of these heat sources should be appropriately incorporated into a singular control system.",
316_UK_DocL_V1_ConsrvationOfFuelAndPower,Heat pumps should be located and installed subject to the manufacturers guidance.,
323_UK_DocL_V1_ConsrvationOfFuelAndPower,"For a heat exchanger between a solar primary and secondary system, a minimum of 0.1m2 or equivalent of heat exchanger area should be provided for every 1m2 of the net absorber area of the solar collector.",
330_UK_DocL_V1_ConsrvationOfFuelAndPower,The specification of comfort cooling systems should be based on a heat gain calculation for the dwelling.,
331_UK_DocL_V1_ConsrvationOfFuelAndPower,"Systems should not be significantly oversized in most circumstances, the cooling appliance should not be sized for more than 120 of the design cooling load.",
332_UK_DocL_V1_ConsrvationOfFuelAndPower,The seasonal energy efficiency ratio of an air conditioner working in cooling mode should be a minimum of 4.0.,
335_UK_DocL_V1_ConsrvationOfFuelAndPower,Systems should be designed so that they can be commissioned to suitable ventilation rates so that spaces are not significantly over-ventilated.,
338_UK_DocL_V1_ConsrvationOfFuelAndPower,"If luminous efficacy is greater than 75 light source lumens per circuit-watt, manual control is acceptable.",
342_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where onsite electricity generation and storage is installed, such as photovoltaic panels or battery storage, systems should be an appropriate size for the site, available infrastructure and onsite energy demand.",
344_UK_DocL_V1_ConsrvationOfFuelAndPower,"When replacing an existing system, the installed generation capacity of the new system should be no less than that of the existing system, except where a smaller system can be demonstrated to be more appropriate or effective (e.g. replacing an existing system with one which is better matched to the dwelling's energy demand).",
354_UK_DocL_V1_ConsrvationOfFuelAndPower,An air pressure test should be carried out on every dwelling.,
356_UK_DocL_V1_ConsrvationOfFuelAndPower,"The dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate, all calculated using the measured air permeability, must not be higher than the target primary energy rate, target emission rate and target fabric energy efficiency rate, respectively.",
359_UK_DocL_V1_ConsrvationOfFuelAndPower,"The results of all pressure tests on dwellings, including any test failures, should be reported to the building control body.",
369_UK_DocL_V1_ConsrvationOfFuelAndPower,Where a system for onsite electricity generation is installed (a) reasonable provision must be made to ensure that (i) the system and its electrical output are appropriately sized for the site and available infrastructure; (ii) the system has effective controls; and (b) it must be commissioned by testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances.,
371_UK_DocL_V1_ConsrvationOfFuelAndPower,Fixed building services must be commissioned to ensure that they use no more fuel and power than is reasonable in the circumstances.,
372_UK_DocL_V1_ConsrvationOfFuelAndPower,On-site electricity generation systems must be commissioned to ensure that they produce as much electricity as is reasonable in the circumstances.,
374_UK_DocL_V1_ConsrvationOfFuelAndPower,"For new dwellings, the commissioning plan should be given to the building control body with the design stage dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate calculations.",
380_UK_DocL_V1_ConsrvationOfFuelAndPower,A suitable chemical inhibitor should be added to the primary heating circuit to protect against scale and corrosion.,
381_UK_DocL_V1_ConsrvationOfFuelAndPower,"In hard water areas, suitable measures should be taken to treat the feed water to water heaters and the hot water circuit of combination boilers to reduce lime-scale accumulation.",
384_UK_DocL_V1_ConsrvationOfFuelAndPower,Ground arrays including header pipes and manifolds should be flushed as one system to remove all debris and purged to remove all air.,
385_UK_DocL_V1_ConsrvationOfFuelAndPower,"Vertical, horizontal and slinky ground arrays in particular should be flushed in both directions.",
386_UK_DocL_V1_ConsrvationOfFuelAndPower,"During this process, the heat pump (along with its accompanying pipework) should be isolated from the ground heat exchanger such that damage to the internal heat exchanger inside the heat pump is avoided.",
387_UK_DocL_V1_ConsrvationOfFuelAndPower,The heat pump along with its accompanying pipework should be flushed and purged as a separate system while isolated from the ground array system.,
393_UK_DocL_V1_ConsrvationOfFuelAndPower,Systems should be commissioned to optimise the use of energy for pumping.,
407_UK_DocL_V1_ConsrvationOfFuelAndPower,"For existing dwellings, when installing a complete new or replacement system (e.g. replacing a heating system including the heating appliance, pipework and heat emitters), the energy performance of the whole system should be assessed.",
409_UK_DocL_V1_ConsrvationOfFuelAndPower,"For existing dwellings, when carrying out work on an existing system, such as installing or replacing
components (e.g. replacing a boiler but retaining the pipework and heat emitters), the energy performance of the new components should be assessed.",
418_UK_DocL_V1_ConsrvationOfFuelAndPower,Units should be draught-proofed.,
419_UK_DocL_V1_ConsrvationOfFuelAndPower,Insulated cavity closers should be installed where appropriate.,
421_UK_DocL_V1_ConsrvationOfFuelAndPower,"The area of windows, roof windows, rooflights and doors should not exceed 25 of the total floor area of the dwelling.",
422_UK_DocL_V1_ConsrvationOfFuelAndPower,"If the area of windows, roof windows, rooflights and doors exceeds 25 of the total floor area of the dwelling, compensating measures should be taken to improve the energy efficiency of the dwelling.",
423_UK_DocL_V1_ConsrvationOfFuelAndPower,"The term controlled fitting refers to the entire unit of a window, roof window, rooflight or door, including the frame.",
431_UK_DocL_V1_ConsrvationOfFuelAndPower,A conservatory or porch must have thermal separation from the existing dwelling.,
433_UK_DocL_V1_ConsrvationOfFuelAndPower,"Any walls, doors and windows should be insulated and draught-proofed to at least the same extent as in the existing dwelling.",
490_UK_DocL_V1_ConsrvationOfFuelAndPower, The area of openings in the newly created dwelling should not be more than 25 of the total floor area.,
464_UK_DocL_V1_ConsrvationOfFuelAndPower,The annual energy savings should be estimated using the Standard Assessment Procedure.,
470_UK_DocL_V1_ConsrvationOfFuelAndPower,"Areas that are not enclosed, such as open floors, covered ways and balconies, should be excluded.",
478_UK_DocL_V1_ConsrvationOfFuelAndPower,The photographs should be made available to the energy assessor and the building control body.,
480_UK_DocL_V1_ConsrvationOfFuelAndPower,One photograph per detail should be recorded.,
482_UK_DocL_V1_ConsrvationOfFuelAndPower,"Photographs should be taken at appropriate construction stages for each detail when completed, but prior to closingup works.",
484_UK_DocL_V1_ConsrvationOfFuelAndPower,"Geo-location should be enabled to confirm the location, date and time of each image.",
17_UK_DocM_V2_AccessAndUseOfBuildings,The energy efficiency of historic and traditional buildings should be improved only if doing so will not cause long-term deterioration of the buildings fabric or fittings.,
18_UK_DocM_V2_AccessAndUseOfBuildings,"In determining whether full energy efficiency improvements should be made, the building control body should consider the advice of the local authoritys conservation officer.",
19_UK_DocM_V2_AccessAndUseOfBuildings,The floor area of the extension does not exceed 30m2.,
22_UK_DocM_V2_AccessAndUseOfBuildings,The floor area of the extension does not exceed 30m2.,
23_UK_DocM_V2_AccessAndUseOfBuildings,A building that contains both living accommodation and space for commercial purposes (e.g. for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.,
26_UK_DocM_V2_AccessAndUseOfBuildings,"Manual controls, where provided, should be within reasonable reach of the occupants.",
33_UK_DocM_V2_AccessAndUseOfBuildings,"Where a building is erected, it must be a nearly zero-energy building.",
45_UK_DocM_V2_AccessAndUseOfBuildings,"Both before and after a newly constructed building is built, a notice must be given to the building control body of the calculations.",
47_UK_DocM_V2_AccessAndUseOfBuildings,A new building must be built to a minimum standard of total energy performance.,
49_UK_DocM_V2_AccessAndUseOfBuildings,"The target primary energy rate and target emission rate must be calculated using one of the calculation tools in the approved methodology, used in line with the version policy as stated in the methodology.",
51_UK_DocM_V2_AccessAndUseOfBuildings,"The same approved calculation tool must be used to calculate the target primary energy rate, the target emission rate, the building primary energy rate and the building emission rate.",
59_UK_DocM_V2_AccessAndUseOfBuildings,Biomass heating supplemented by an alternative appliance (e.g. gas) -  the CO2 emission factor and primary energy factor should be based on a weighted average for the two fuels.,
62_UK_DocM_V2_AccessAndUseOfBuildings,"The building emission rate and building primary energy rate submission should be accompanied by a report, signed by a suitably qualified person, detailing how the combined emission factor has been derived.",
63_UK_DocM_V2_AccessAndUseOfBuildings,"Appliances capable of burning both biomass fuel and fossil fuel  the CO2 emission factor and primary energy factor for dua-lfuel appliances should be used, except where the building is in a smoke control area, when the anthracite figure should be used.",
67_UK_DocM_V2_AccessAndUseOfBuildings,CO2 emissions and primary energy associated with the thermal energy streams of a trigeneration scheme should be attributed in proportion to the output energy streams.,
69_UK_DocM_V2_AccessAndUseOfBuildings,A new district heat network should be taken as meaning any other district heat network.,
70_UK_DocM_V2_AccessAndUseOfBuildings,"The building primary energy rate and building emission rate submission should be accompanied by a report, signed by a suitably qualified person, detailing how the CO2 emission factors and primary energy factors have been derived.",
81_UK_DocM_V2_AccessAndUseOfBuildings,Modular and portable buildings with a planned service life of more than two years at a single location should be shown to comply with the energy efficiency requirements.,
83_UK_DocM_V2_AccessAndUseOfBuildings,Modular and portable buildings with a planned service life of more than two years but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,
87_UK_DocM_V2_AccessAndUseOfBuildings,"Whenever the building is moved to a new location, in which its intended time of use is less than two years, these calculations can be provided as evidence that the energy efficiency requirements are met.",
89_UK_DocM_V2_AccessAndUseOfBuildings,"If the planned time of use of a modular or portable building in a single location is less than two years, the only practical heating technology may be electric resistance heating.",
91_UK_DocM_V2_AccessAndUseOfBuildings,"Instead, the building primary energy rate and building emission rate should be calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround.",
102_UK_DocM_V2_AccessAndUseOfBuildings,"A target primary energy rate, target emission rate, building primary energy rate and the building emission rate should be calculated for non-exempt buildings with low energy demand.",
105_UK_DocM_V2_AccessAndUseOfBuildings,The building envelope should be insulated to a degree that is reasonable in the particular case.,
115_UK_DocM_V2_AccessAndUseOfBuildings,"The building control body should be notified that the analysis of high-efficiency alternative systems has been undertaken, that it is documented and is available to be verified.",
117_UK_DocM_V2_AccessAndUseOfBuildings,"When a building undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems should be considered.",
123_UK_DocM_V2_AccessAndUseOfBuildings,"U-values should be assessed for the whole thermal element (e.g. in the caseof a window, the combined performance of the glazing and the frame).",
124_UK_DocM_V2_AccessAndUseOfBuildings,"NOTE: When a single U-value is calculated for a product range of doors, the configuration of the door chosen for the calculation should be the worst performing in the product range.",
128_UK_DocM_V2_AccessAndUseOfBuildings,"To correctly assess whether an element meets the limiting U-value, the U-value must be calculated for the element in the appropriate plane  either horizontal or vertical.",
129_UK_DocM_V2_AccessAndUseOfBuildings,"For windows and roof windows, U-values should be calculated based on a vertical position.",
130_UK_DocM_V2_AccessAndUseOfBuildings,"For rooflights, U-values should be calculated based on a horizontal position.",
135_UK_DocM_V2_AccessAndUseOfBuildings,Single glazing should be supplemented with low-emissivity secondary glazing.,
136_UK_DocM_V2_AccessAndUseOfBuildings,"If meeting such a standard in an existing building would reduce by more than 5 the internal floor area of the room bounded by the wall, a lesser provision may be appropriate.",
137_UK_DocM_V2_AccessAndUseOfBuildings,"If other performance (e.g. wind load, safety, security or acoustic attenuation) requires thicker glass to be used, an equivalent window unit with standard thickness glazing should be shown to meet the required standard.",
138_UK_DocM_V2_AccessAndUseOfBuildings,"There are no limits on the design of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",
140_UK_DocM_V2_AccessAndUseOfBuildings,"U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight (U_d values), which is often greater than the area of the roof opening.",
143_UK_DocM_V2_AccessAndUseOfBuildings,"Generally, a thermal element once upgraded should not have a U-value greater than 0.7W/(m2K).",
145_UK_DocM_V2_AccessAndUseOfBuildings,The depth of the insulation plus any required air gap should be at least to the depth of the rafters.,
146_UK_DocM_V2_AccessAndUseOfBuildings,The insulant should be chosen to achieve the lowest practicable U-value.,
148_UK_DocM_V2_AccessAndUseOfBuildings,"If meeting such a standard would reduce the internal floor area of the room bounded by the wall by more than 5, a lesser standard may be appropriate.",
149_UK_DocM_V2_AccessAndUseOfBuildings,The insulation should be reasonably continuous across newly built elements.,
150_UK_DocM_V2_AccessAndUseOfBuildings,"Thermal bridging, including at the party wall, should be reasonably limited.",
152_UK_DocM_V2_AccessAndUseOfBuildings,The space between the air barrier and the insulation layer should be filled with solid material.,
161_UK_DocM_V2_AccessAndUseOfBuildings,"When installing or renovating thermal elements, the element being installed should be draught-proofed and airleakage gaps should be filled.",
162_UK_DocM_V2_AccessAndUseOfBuildings,"When installing controlled fittings, the controlled fitting should be well fitted and reasonably draught-proof.",
170_UK_DocM_V2_AccessAndUseOfBuildings,Hot water pipework should be insulated in all areas inside and outside the building unless it can be demonstrated that the heat is always useful.,
176_UK_DocM_V2_AccessAndUseOfBuildings,Cooling pipework should be insulated along its whole length.,
177_UK_DocM_V2_AccessAndUseOfBuildings,Control should be maximised and heat gain to uninsulated pipes should only be permitted where the proportion of the cooling load relating to distribution pipework is less than 1 of the total load.,
188_UK_DocM_V2_AccessAndUseOfBuildings,Where a system for onsite electricity generation is installed (a) reasonable provision must be made to ensure that (i) the system and its electrical output are appropriately sized for the site and available infrastructure; (ii) the system has effective controls; and (b) it must be commissioned by testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances.,
194_UK_DocM_V2_AccessAndUseOfBuildings,The test data should be certified by a notified body.,
199_UK_DocM_V2_AccessAndUseOfBuildings,"NOTE: For grid-supplied electricity, a CO2 emission factor of 0.136kgCO2/kWh and primary energy factor of 1.501kWhPE/kWh should be used.",
208_UK_DocM_V2_AccessAndUseOfBuildings,"Where a wet heating system is either: a. newly installed; b. fully replaced in an existing building, including the heating appliance, emitters and associated pipework all parts of the system, including pipework and emitters, should be sized to allow the space heating system to operate effectively, and in a manner that meets the heating needs of the building, at a maximum flow temperature of 55C or lower.",
209_UK_DocM_V2_AccessAndUseOfBuildings,"Where it is not feasible to install a space heating system that can operate at this temperature (e.g. where there is insufficient space for larger radiators, or the existing distribution system is provided with higher temperature heat from a low carbon district heat network), the space heating system should be designed to the lowest design temperature possible that will still meet the heating needs of the building.",
212_UK_DocM_V2_AccessAndUseOfBuildings,The service should be appropriate to the requirements of the space.,
213_UK_DocM_V2_AccessAndUseOfBuildings,The default condition should be off.,
214_UK_DocM_V2_AccessAndUseOfBuildings,"System controls should be wired so that when there is no demand for space heating, the heating appliance and pump are switched off.",
216_UK_DocM_V2_AccessAndUseOfBuildings,"Before a new heating appliance is installed, all central heating and primary hot water circuits should be thoroughly cleaned and flushed out.",
217_UK_DocM_V2_AccessAndUseOfBuildings,A suitable chemical inhibitor should be added to the primary heating circuit to protect against scale and corrosion.,
218_UK_DocM_V2_AccessAndUseOfBuildings,"In hard water areas, suitable measures should be taken to treat the feed water to water heaters and the hot water circuit of combination boilers to reduce limescale accumulation.",
220_UK_DocM_V2_AccessAndUseOfBuildings,"For heating and cooling systems in a new non-domestic building, or when a heat generator such as a boiler is replaced in an existing non-domestic building, each room should be provided with thermostatic room controls.",
221_UK_DocM_V2_AccessAndUseOfBuildings,These should be capable of being used to separately adapt the heating or cooling output in each room served by the heating or cooling appliance.,
227_UK_DocM_V2_AccessAndUseOfBuildings,"The various enduse categories, such as heating, lighting and cooling, should be submetered in such a way that at least 90 of the annual energy consumption of each fuel can be assigned to an enduse.",
228_UK_DocM_V2_AccessAndUseOfBuildings,The outputs of any renewable systems should be separately monitored.,
229_UK_DocM_V2_AccessAndUseOfBuildings,"In buildings with a total useful floor area greater than 1000m2, automatic meter reading and data collection facilities should be installed.",
232_UK_DocM_V2_AccessAndUseOfBuildings,"In cases where the Energy Related Products Regulations and the Building Regulations both apply, both standards should be met.",
233_UK_DocM_V2_AccessAndUseOfBuildings,"Equipment should be designed, specified and installed with the aim of maximising its efficiency as installed.",
235_UK_DocM_V2_AccessAndUseOfBuildings,Non-condensing boilers should be fitted with a flue condensing kit where feasible and where the boiler is likely to be able to operate in condensing mode (e.g. variable temperature circuits).,
244_UK_DocM_V2_AccessAndUseOfBuildings,"NOTE: For example, if the total system output is made up of three equally sized boilers, at 15% of system output the lead boiler will be operating at 45% of its rated output with the other two boilers switched off.",
245_UK_DocM_V2_AccessAndUseOfBuildings,NOTE: Linear interpolation should be used to determine efficiencies between manufacturers declared efficiencies at 30 and 100 load.,
246_UK_DocM_V2_AccessAndUseOfBuildings,"If efficiencies at below 30% are required and unavailable, the boiler efficiency may be taken as equal to that at 30% load.",
249_UK_DocM_V2_AccessAndUseOfBuildings,"NOTE: All boilers should be used in the calculation, including any that are identical.",
252_UK_DocM_V2_AccessAndUseOfBuildings,Gasfired boilers and multi-stage oilfired boilers with an output of more than 500kW should have fully modulating burner controls.,
257_UK_DocM_V2_AccessAndUseOfBuildings,Timing and temperature demand control should be provided.,
258_UK_DocM_V2_AccessAndUseOfBuildings,"If the building has a floor area greater than 150m2, heating should be split into different heating zones and each zone should have separate controls for timing and temperature demand.",
259_UK_DocM_V2_AccessAndUseOfBuildings,"If the building has a floor area greater than 150m2, heating should be split into different heating zones and each zone should have separate controls for timing and temperature demand.",
260_UK_DocM_V2_AccessAndUseOfBuildings,"The input charge for electric storage heaters should be adjusted automatically, based on the internal air temperature.",
261_UK_DocM_V2_AccessAndUseOfBuildings,Manual control of heat release from the appliance should be possible.,
269_UK_DocM_V2_AccessAndUseOfBuildings,Manual reset should be possible if there is an over-temperature trip.,
275_UK_DocM_V2_AccessAndUseOfBuildings,Multiple cooling units should be provided with controls that ensure that the combined plant operates in its most efficient modes.,
276_UK_DocM_V2_AccessAndUseOfBuildings,The default condition should be off.,
282_UK_DocM_V2_AccessAndUseOfBuildings,"For systems that have the ability to use free cooling or heat recovery, the SEER should be derived for the specific application, including free cooling or heat recovery elements.",
283_UK_DocM_V2_AccessAndUseOfBuildings,"For variable refrigerant flow (VRF) systems, any calculations must include indoor and outdoor conditions, the power input from controls, and indoor units.",
284_UK_DocM_V2_AccessAndUseOfBuildings,"For absorption chillers used in conjunction with onsite CHP or a district heat network or community heating system, the CO2 emissions and primary energy should be calculated in the same way as when using CHP for heating.",
285_UK_DocM_V2_AccessAndUseOfBuildings,The minimum full load EER of the absorption chillers should be no worse than 0.7.,
286_UK_DocM_V2_AccessAndUseOfBuildings,"For district cooling schemes, the CO2 and primary energy content of the cooling energy supplied should be calculated.",
289_UK_DocM_V2_AccessAndUseOfBuildings,"On variable volume systems, variable speed glandless circulators should be used.",
290_UK_DocM_V2_AccessAndUseOfBuildings,"If a water pump is used on a closed loop circuit and the motor is rated at more than 750W, then it should be fitted with or controlled by an appropriate variable speed controller on any variable volume system.",
294_UK_DocM_V2_AccessAndUseOfBuildings,"For heat pump installations in which there are other heat sources available to the same building, each of these heat sources should be appropriately incorporated into a singular control system.",
297_UK_DocM_V2_AccessAndUseOfBuildings,Air handling systems should be capable of achieving a specific fan power (SFP) at 25 of design flow rate no greater than the SFP achieved at 100 design flow rate.,
298_UK_DocM_V2_AccessAndUseOfBuildings,Fans used for general air distribution that are rated at more than 1100W should be fitted with variable speed drives.,
299_UK_DocM_V2_AccessAndUseOfBuildings,Ventilation ductwork should be made and assembled so as to be reasonably airtight.,
300_UK_DocM_V2_AccessAndUseOfBuildings,Air handling units should be made and assembled so as to be reasonably airtight.,
305_UK_DocM_V2_AccessAndUseOfBuildings,The default condition should be off.,
306_UK_DocM_V2_AccessAndUseOfBuildings,"System controls should be wired so that when there is no demand for space heating or hot water, the heating appliance, if appropriate, and pump are switched off.",
307_UK_DocM_V2_AccessAndUseOfBuildings,Supply temperature control should be provided via a variable set point with outdoor temperature compensation.,
309_UK_DocM_V2_AccessAndUseOfBuildings,Ventilation systems that provide supply and extract ventilation should be fitted with a heat recovery system where technically feasible.,
310_UK_DocM_V2_AccessAndUseOfBuildings,Lighting should be designed based on CIBSEs SLL Lighting Handbook or an equivalent design guide.,
317_UK_DocM_V2_AccessAndUseOfBuildings,Display lighting should be controlled on dedicated circuits that can be switched separately from those for lighting provided for general illuminance.,
319_UK_DocM_V2_AccessAndUseOfBuildings,"If a new building has a space heating or airconditioning system with an effective rated output greater than 180kW, a building automation and control system should be installed.",
322_UK_DocM_V2_AccessAndUseOfBuildings,"Where appropriate, these should be automated (with manual override) so that energy savings are maximised.",
323_UK_DocM_V2_AccessAndUseOfBuildings,Consideration should be given to the power requirements of essential (e.g. life safety) systems.,
325_UK_DocM_V2_AccessAndUseOfBuildings,"If the building is heated through a district heat network or community heating system, the effective rated output should be based on the capacity of the equipment installed in the building, making reasonable assumptions for the operation of the district heat network or community heating system, including flow temperatures.",
326_UK_DocM_V2_AccessAndUseOfBuildings,The effective rated output should be assessed based on the final installed capacity of the heating or air-conditioning system.,
329_UK_DocM_V2_AccessAndUseOfBuildings,"Where a building automation and control system is installed, its control capabilities should be appropriate for the building, its expected usage and the building services specification.",
331_UK_DocM_V2_AccessAndUseOfBuildings,"Where on-site electricity generation and storage is installed, such as photovoltaic panels or battery storage, systems should be an appropriate size for the site, available infrastructure and on-site energy demand.",
332_UK_DocM_V2_AccessAndUseOfBuildings,The system should be specified and installed according to the manufacturers instructions to ensure the overall performance of the system meets a reasonable standard.,
333_UK_DocM_V2_AccessAndUseOfBuildings,"When replacing an existing system, the installed generation capacity of the new system should be no less than that of the existing system, except where a smaller system can be demonstrated to be more appropriate or effective (e.g. replacing an existing system with a system which is better matched to the building’s energy demand).",
335_UK_DocM_V2_AccessAndUseOfBuildings,On-site electricity generation should be provided with automated controls that support the design of the system and the intended use.,
336_UK_DocM_V2_AccessAndUseOfBuildings,A district heat network that is being connected to a new building should not have a CO2 emission factor for delivered heat to the building which is greater than 0.350kgCO2/kWh.,
342_UK_DocM_V2_AccessAndUseOfBuildings,Calibration should be carried out in accordance with CIBSEs TM23.,
351_UK_DocM_V2_AccessAndUseOfBuildings,Test data must be from a minimum of five in-situ measurements of the same module types and link details as used in the actual building.,
352_UK_DocM_V2_AccessAndUseOfBuildings,Air permeability should be in m3/(hm2) at 50Pa.,
355_UK_DocM_V2_AccessAndUseOfBuildings,"Any justification and strategy should be in line with the approved airtightness testing methodology, CIBSEs TM23.",
357_UK_DocM_V2_AccessAndUseOfBuildings,"The building primary energy rate and building emission rate calculated using the measured air permeability must not be higher than the target primary energy rate and target emission rate, respectively.",
360_UK_DocM_V2_AccessAndUseOfBuildings,"The results of all pressure tests on buildings, including any test failures, should be reported to the building control body.",
