Text,is_rule,ID,source,base,n_tokens,n_chars,n_deontic,n_quantitative,n_coref,n_ext_ref,has_shall,has_must,has_should,has_may,starts_capital,ends_period,n_commas,n_semicolons,n_numbers
Applicants need to consider these wider equality obligations when undertaking building work and whether provision in some circumstances should exceed that set out within this Approved Document.,0,26_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,27,193,1,0,2,0,0,0,1,0,1,1,0,0,0
Application.,0,20_UK_DocA_Structure,accord_official,ACCORD Official,1,12,0,0,0,0,0,0,0,0,1,1,0,0,0
Approach routes.,0,11_UK_DocM_V1_AccessAndUseOfBuildings | 38_UK_DocM_V1_AccessAndUseOfBuildings | 68_UK_DocM_V1_AccessAndUseOfBuildings,accord_official,ACCORD Official,2,16,0,0,0,0,0,0,0,0,1,1,0,0,0
Appropriate checks should be made to determine whether any retained ventilation devices are working correctly.,0,169_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,15,110,1,0,0,0,0,0,1,0,1,1,0,0,0
"Areas that are not enclosed, such as open floors, covered ways and balconies, should be excluded.",1,470_UK_DocL_V1_ConsrvationOfFuelAndPower | 471_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,16,97,1,0,1,0,0,0,1,0,1,1,3,0,0
"Artificial lighting should be designed to give good colour rendering of all surfaces, without creating glare or pools of bright light and strong shadows.",1,152_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,24,153,1,0,0,0,0,0,1,0,1,1,1,0,0
"As an alternative approach to paragraph 10.7, the areaweighted U-value of all thermal elements in the extension should be shown to not exceed the areaweighted U-value of an extension of the same size and shape that complies with paragraph 10.7.",0,425_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,44,244,1,1,0,1,0,0,1,0,1,1,1,0,2
"As an alternative approach to paragraphs 10.7 or 10.9, the Standard Assessment Procedure may be used to show that the dwelling primary energy rate, the dwelling emission rate and the dwelling fabric energy efficiency rate for the dwelling and proposed extension do not exceed those for the dwelling plus a notional extension.",0,426_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,54,325,1,1,1,1,0,0,0,1,1,1,2,0,2
"As an alternative to paragraph 11.7, in buildings that contain more than one dwelling, the Standard Assessment Procedure may be used to show that the dwelling primary energy usage and total CO2 emissions from all dwellings in the building, after completion of the building work, would be no greater than if each dwelling had been improved following the guidance in paragraph 11.7.",0,454_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,64,380,1,1,0,1,0,0,0,1,1,1,4,0,2
"As an alternative to paragraph 3.17, to ventilate the additional habitable room, one of the following methods could be used.",0,153_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,21,124,0,0,1,2,0,0,0,0,1,1,2,0,1
"As far as possible, access should be level from the boundary of the site, and from any car parking designated for disabled people, to the principal entrance and any entrance used exclusively for staff or, if either of these is not accessible, to any alternative accessible entrances.",1,38_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,47,283,1,0,1,0,0,0,1,0,1,1,5,0,0
As many electric vehicle charge points as can be accommodated within the existing power supply should be installed.,1,43_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,18,115,1,0,0,0,0,0,1,0,1,1,0,0,0
"As some solar hot water systems operate at elevated temperatures and pressures, and so all components should be rated to the appropriate temperatures and pressures.",0,126_UK_DocG_Sanitation,accord_official,ACCORD Official,25,164,1,0,0,0,0,0,1,0,1,1,1,0,0
Assumptions used in applying performance criteria for offices in Section 1.,0,120_UK_DocF_V2_Ventilation,accord_official,ACCORD Official,11,75,0,0,0,1,0,0,0,0,1,1,0,0,1
At a single location.,0,80_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,4,21,0,0,0,0,0,0,0,0,1,1,0,0,0
"At both of these points the building primary energy rate and building emission rate must not exceed the target primary energy rate and the target emission rate, respectively.",0,53_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,28,174,2,1,1,0,0,1,0,0,1,1,1,0,0
"At both of these points the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate must not exceed the target primary energy rate, target emission rate and target fabric energy efficiency rate, respectively.",0,58_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,37,248,2,1,1,0,0,1,0,0,1,1,3,0,0
"At gables and party walls, insulation should extend to the wall; if the space between the wall and joist is less than 100mm, perimeter insulation may be required.",1,170_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,28,162,2,1,0,0,0,0,1,1,1,1,2,1,0
At least one in every five remaining parking spaces must be provided with cable routes.,1,68_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,15,87,1,1,0,0,0,1,0,0,1,1,0,0,0
At least one network termination point should be provided in a suitable position at each new dwelling erected.,1,41_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,18,110,1,1,0,1,0,0,1,0,1,1,0,0,0
At least one quote should be from a distribution network operator.,1,22_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,11,66,1,1,0,0,0,0,1,0,1,1,0,0,0
At least two offers from the providers showing that the cost of the relevant connection exceeds the  cost cap (where 3b applies).,0,74_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,22,129,0,1,0,0,0,0,0,0,1,1,0,0,0
"At night (11pm to 8am), openings should be modelled as fully open if both of the following apply.",0,52_UK_DocO_Overheating,accord_official,ACCORD Official,18,97,1,0,1,0,0,0,1,0,1,1,1,0,0
"At night, windows, patio doors and balcony doors should be modelled as closed.",1,55_UK_DocO_Overheating,accord_official,ACCORD Official,13,78,1,0,0,0,0,0,1,0,1,1,2,0,0
"At practical completion of the base building in a shell and core development, the asbuilt target primary energy rate, building primary energy rate, target emission rate and building emission rate calculations should be based only on the building and systems as constructed; the fitout areas should be assumed to be conditioned to temperatures appropriate to their designated use, but no associated energy demand included.",0,97_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,64,421,1,0,0,0,0,0,1,0,1,1,4,1,0
"Attention should be paid in particular to the need to comply with Part  A (Structure), Part B (Fire safety), Part C (Site  preparation and resistance to contaminants and  moisture), Part J (Combustion appliances and  fuel storage systems), Part L (Conservation of  fuel and power) and Part P (Electrical safety),  as well as Part G.  INTRODUCTION.",0,4_UK_DocG_Sanitation,accord_official,ACCORD Official,55,347,1,0,0,0,0,0,1,0,1,1,5,0,0
"Audience and spectator facilities will satisfy Requirement M1 if:a. the route to wheelchair spaces is accessible by wheelchair users; b. stepped access routes to audience seating are provided with fixed handrails (see 1.34 to 1.37 for details of handrails); c. the minimum number of permanent and removable spaces provided for wheelchair users is in accordance with Table 3 ; d. some wheelchair spaces (whether permanent or created by removing seats) are provided in pairs , with standard seating on at least one side (see Diagram 13); e. where more than two wheelchair spaces are provided , they are located to give a range of views of the event at each side , as well as at the front and back of the seating area; f. the minimum clear space provided for access to wheelchair spaces is 900mm; g. the clear space allowance for an occupied wheelchair in a parked position is 900mm wide by 1400mm deep ; h. the floor of each wheelchair space is horizontal; i. some seats are located so that an assistance dog can accompany its owner and rest in front of , or under, the seat ; j. standard seats at the ends of rows and next to wheelchair spaces have detachable, or lift-up, arms; An example of wheelchair spaces in a lecture theatre a. wheelchair spaces at the back of a stepped terraced floor are provided in accordance with Diagram 14 or 15 , the arrangement in Diagram 15 being particularly suitable for entertainment buildings, such as theatres or cinemas, subject to the approval of the licensing authority; Possible location of wheelchair spaces in front of a rear aisle An example of wheelchair space provision in a cinema or theatre a. where a podium or stage is provided, wheelchair users have access to it by means of a ramp or lifting platform ; b. a hearing enhancement system in accordance with 4.36 is provided for people with impaired hearing.",0,136_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,320,1856,0,2,3,2,0,0,0,0,1,1,11,12,8
Automatic control of input charge should be provided.,1,279_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,8,53,1,0,0,0,0,0,1,0,1,1,0,0,0
"B.11  Any glazing which, if broken, would permit someone to insert their hand and release the locking device on the inside of the door should be a minimum of class P1A in accordance with BS EN 356:2000.",0,42_UK_DocQ_Security_Dwellings,accord_official,ACCORD Official,39,202,1,1,1,0,0,0,1,0,1,1,2,0,3
B1  The Buildings Regulations England Part L (BREL) report and photographic evidence should be provided to the building control body and to the building owner to show that building work complies with energy efficiency requirements.,0,472_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,35,231,1,0,0,0,0,0,1,0,1,1,0,0,0
"B11  For new dwellings, for the purposes of this approved document, the moisture criteria in Table B2 is likely to be met if, during the colder months of the year, the moving average relative humidity in a room is always less than the value given in Table B3, evaluated over each moving average period.",0,254_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,54,302,0,1,1,1,0,0,0,0,1,1,5,0,0
B2  The LENI should not exceed the lighting energy limit specified in Table B1 for a given illuminance and number of hours run.,0,472_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,23,127,1,1,1,1,0,0,1,0,1,1,0,0,0
B2  The performance criterion for moisture is that there should be no visible mould on the inner surfaces of the external walls of a properly heated dwelling with typical moisture generation.,0,249_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,31,191,1,0,0,0,0,0,1,0,1,1,0,0,0
"B3  Mould can grow whether the dwelling is occupied or unoccupied, so the performance criterion for humidity (given in Table B3) should be met at all times, regardless of whether there are occupants.",0,250_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,33,199,1,0,0,1,0,0,1,0,1,1,2,0,0
"B3  Two versions of the BREL report should be produced, using the approved software.",0,473_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,14,84,1,0,0,0,0,0,1,0,1,1,1,0,0
B4   The asbuilt BREL report should be signed by the person carrying out the SAP assessment to confirm that the asbuilt calculations are accurate and that the supporting documentary evidence and photographs have been reviewed (see paragraphs B6 and B7).,0,474_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,40,253,1,0,0,2,0,0,1,0,1,1,0,0,0
"B4  For the purposes of this approved document, for all offices (both new and existing, where Part F applies), the moisture criteria are likely to be met if, during the colder months of the year, the moving average surface water activity of the internal surfaces of external walls is always less than the value in Table B2, evaluated over each moving average period.",0,122_UK_DocF_V2_Ventilation,accord_official,ACCORD Official,63,366,0,1,1,1,0,0,0,0,1,1,6,0,0
B5   The asbuilt BREL report should be signed by the developer to confirm that the dwelling has been constructed or completed according to the specifications in the report.,0,475_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,28,172,1,0,0,0,0,0,1,0,1,1,0,0,0
B6   Photographs should be taken for each dwelling on a development as a record during the construction of a property.,0,477_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,20,118,1,0,0,0,0,0,1,0,1,1,0,0,0
B7  Photographs should be taken of typical details as listed below and should be unique to each property.,0,479_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,18,105,1,0,0,0,0,0,1,0,1,1,0,0,0
B8  Photographs should be digital and of sufficient quality and high enough resolution to allow a qualitative audit of the subject detail.,0,483_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,22,138,1,0,1,0,0,0,1,0,1,1,0,0,0
BCB means Building Control Body: a local  authority or an Approved Inspector.,0,9_UK_DocG_Sanitation,accord_official,ACCORD Official,12,77,0,0,0,0,0,0,0,0,1,1,0,0,0
"BS EN 131418  for internal and external leakage and for mixing, the unit should meet at least Class U4 of the standard.",0,61_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,22,119,1,1,1,0,0,0,1,0,1,1,1,0,1
"Background ventilation of at least 10,000mm2 equivalent area.",0,76_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,9,61,0,1,0,0,0,0,0,0,1,1,1,0,1
Background ventilators and intermittent extract ventilation.,0,186_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,6,60,0,0,0,0,0,0,0,0,1,1,0,0,0
"Background ventilators of at least 12,000mm2 equivalent area between the additional room and the outside.",0,152_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,16,105,0,1,0,0,0,0,0,0,1,1,1,0,1
"Background ventilators of at least 12,000mm2 equivalent area between the two rooms.",0,151_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,13,83,0,1,0,0,0,0,0,0,1,1,1,0,1
"Background ventilators should be at least 1700mm above floor level, to reduce cold draughts, but still be easy for the occupant to reach.",1,64_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,23,137,1,1,0,0,0,0,1,0,1,1,2,0,0
Background ventilators should meet the performance standards for both of the following: a. air flow from outside to inside the dwelling; b. air flow from inside the dwelling to outside.,1,58_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,30,185,1,0,1,0,0,0,1,0,1,1,0,1,0
Barrier siting.,0,81_UK_DocK_ProtectionFromFalling,accord_official,ACCORD Official,2,15,0,0,0,0,0,0,0,0,1,1,0,0,0
Bathrooms.,0,189_UK_DocG_Sanitation,accord_official,ACCORD Official,1,10,0,0,0,0,0,0,0,0,1,1,0,0,0
Be fully open when the internal temperature exceeds 26C.,0,51_UK_DocO_Overheating,accord_official,ACCORD Official,9,56,0,0,0,0,0,0,0,0,1,1,0,0,0
Beading should be mechanically fixed and glued in position.,1,32_UK_DocQ_Security_Dwellings,accord_official,ACCORD Official,9,59,1,0,0,0,0,0,1,0,1,1,0,0,0
Bedrooms.,0,99_UK_DocM_V1_AccessAndUseOfBuildings,accord_official,ACCORD Official,1,9,0,0,0,0,0,0,0,0,1,1,0,0,0
"Before a new heating appliance is installed, all central heating and primary hot water circuits should be thoroughly cleaned and flushed out.",1,216_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,22,141,1,0,0,0,0,0,1,0,1,1,1,0,0
"Before building work starts on a new dwelling, the person undertaking the building work must analyse the technical, environmental and economic feasibility of using highefficiency alternative systems in the dwelling design.",0,94_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,31,222,1,0,0,0,0,1,0,0,1,1,2,0,0
"Before building work starts on a new nondomestic building, the person undertaking the building work must analyse the technical, environmental and economic feasibility of using high-efficiency alternative systems in the building design.",0,113_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,33,235,1,0,0,0,0,1,0,0,1,1,2,0,0
"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.",1,133_UK_DocL_V1_ConsrvationOfFuelAndPower | 155_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,22,146,1,0,1,0,0,0,1,0,1,1,1,0,0
"Before the relevant building work starts, when any relevant notice is provided or application is made to a building control body, the developer must provide certain additional information.",0,56_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,28,188,1,0,0,0,0,1,0,0,1,1,2,0,0
"Between the locking points for the mortice lock and surface-mounted rim lock, the distance should be 400-600mm.",1,36_UK_DocQ_Security_Dwellings,accord_official,ACCORD Official,19,111,1,0,0,0,0,0,1,0,1,1,1,0,1
Between the two rooms there should be a permanent opening with a minimum area of 1/20 of the combined floor area of the two rooms (see Diagram 1.3).,0,77_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,30,148,1,1,0,1,0,0,1,0,1,1,0,0,3
Biomass boilers.,0,253_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,2,16,0,0,0,0,0,0,0,0,1,1,0,0,0
Biomass heating supplemented by an alternative appliance (e.g. gas) -  the CO2 emission factor and primary energy factor should be based on a weighted average for the two fuels.,1,59_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,29,177,1,0,0,0,0,0,1,0,1,1,0,0,0
Boards should be fitted to the structure to avoid any gaps between board edges and between the board facings.,1,145_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,19,109,1,0,0,0,0,0,1,0,1,1,0,0,0
Boiler controls.,0,250_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,2,16,0,0,0,0,0,0,0,0,1,1,0,0,0
Boiler systems with an output of more than 100kW should have both of the following.,0,251_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,15,83,1,0,1,0,0,0,1,0,1,1,0,0,0
"Both before and after a newly constructed building is built, a notice must be given to the building control body of the calculations.",1,45_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,23,133,1,0,0,0,0,1,0,0,1,1,1,0,0
"Both before and after a newly constructed dwelling is built, a notice must be given to the building control body of the calculations.",1,44_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,23,133,1,0,0,0,0,1,0,0,1,1,1,0,0
"Both of the following apply:  The building/s is/are in an area isolated from a relevant public electronic communications network of the kind mentioned in regulation 44ZC(2) of the Building Regulations 2010, where the cost of a gigabit-capable, highspeed and USOstandard public electronic communications network connection exceeds the cost cap.",0,70_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,53,343,0,0,1,0,0,0,0,0,1,1,2,0,2
Both of the following should be confirmed.,0,213_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,7,42,1,0,1,0,0,0,1,0,1,1,0,0,0
"Both:the area of rooflights exceeds 20 of the area of the roof, and the design solar load exceeds 25W/m2.",1,496_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,21,105,0,0,0,0,0,0,0,0,1,1,1,0,1
Building Category and location.,0,80_UK_DocK_ProtectionFromFalling,accord_official,ACCORD Official,4,31,0,0,0,0,0,0,0,0,1,1,0,0,0
Building automation and control system specification.,0,327_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,6,53,0,0,0,0,0,0,0,0,1,1,0,0,0
Building automation and control systems.,0,318_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,5,40,0,0,0,0,0,0,0,0,1,1,0,0,0
Building control notification.,0,54_UK_DocM_V2_AccessAndUseOfBuildings | 59_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,3,30,0,0,0,0,0,0,0,0,1,1,0,0,0
"Building means any permanent or temporary  building, but not any Others kind of structure or  erection, and a reference to a building includes  a reference to part of a building.",0,10_UK_DocG_Sanitation,accord_official,ACCORD Official,30,178,0,0,0,0,0,0,0,0,1,1,2,0,0
"Building work must be carried out so as to ensure that the building is equipped with a high-speedready inbuilding physical infrastructure, up to a network termination point for high-speed electronic communications networks.",1,1_UK_DocR_V2_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,34,223,1,0,0,0,0,1,0,0,1,1,1,0,0
Building work must meet the functional requirements of Schedule 1 to the Building Regulations.,0,5_UK_Doc7_Materials_and_workmanship,accord_official,ACCORD Official,14,94,1,0,0,1,0,1,0,0,1,1,0,0,1
"Building work shall be carried out (a) with adequate and proper materials which (i) are appropriate for the circumstances in which they are used, (ii) are adequately mixed or prepared, and (iii) are applied, used or fixed so as adequately to perform the functions for which they are designed; and (b  in a work-man-like manner.",0,2_UK_Doc7_Materials_and_workmanship,accord_official,ACCORD Official,57,327,1,0,1,0,1,0,0,0,1,1,3,1,0
Buildings located near to significant local pollution sources should be designed to minimise the intake of external air pollutants.,1,80_UK_DocO_Overheating,accord_official,ACCORD Official,19,131,1,0,0,0,0,0,1,0,1,1,0,0,0
"Buildings that are not dwellings, including extensions that are being treated as new buildings to comply with Part L, must be pressure tested except those types listed in paragraph 7.5.",0,345_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,31,185,1,0,1,1,0,1,0,0,1,1,2,0,1
Buildings that contain more than one dwelling must comply with one of the following.,0,63_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,14,84,1,0,1,0,0,1,0,0,1,1,0,0,0
Buildings that contain multiple dwellings.,0,49_UK_DocL_V1_ConsrvationOfFuelAndPower | 62_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,5,42,0,0,0,0,0,0,0,0,1,1,0,0,0
Buildings undergoing major renovation which are not residential buildings or mixed-use buildings.,0,72_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,13,97,0,0,0,0,0,0,0,0,1,1,0,0,0
Buildings with less than 500m2 total useful floor area.,0,346_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,9,55,0,1,0,0,0,0,0,0,1,1,0,0,0
C1  The Building Regulations UK Part L (BRUKL) report should be provided to the building control body and to the building owner to show that building work complies with the energy efficiency requirements.,0,474_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,33,204,1,0,0,0,0,0,1,0,1,1,0,0,0
"C2  Measured air flow rates for all fans should be recorded on Part 3: Commissioning details, as part of the commissioning procedures given in Section 4 of this approved document.",0,256_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,30,179,1,0,1,1,0,0,1,0,1,1,1,0,2
"C2 This appendix should be used with the simplified method to categorise residential buildings, following paragraph 1.3.",0,110_UK_DocO_Overheating,accord_official,ACCORD Official,18,120,1,0,1,2,0,0,1,0,1,1,1,0,1
"C3  Two versions of the BRUKL report should be produced, using the approved software.",1,475_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,14,85,1,0,0,0,0,0,1,0,1,1,1,0,0
C4  The as-built BRUKL report should be signed by the energy assessor to confirm that the as-built calculations are accurate.,1,476_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,22,125,1,0,0,0,0,0,1,0,1,1,0,0,0
C5  The as-built BRUKL report must be signed by the client (usually the developer or house-builder) to confirm that the building has been constructed or completed according to the specifications in the report.,0,477_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,35,209,1,0,0,0,0,1,0,0,1,1,0,0,0
CIBSE Guide B2 Ventilation and Ductwork (2016).,0,64_UK_DocF_V2_Ventilation,accord_official,ACCORD Official,7,47,0,0,0,0,0,0,0,0,1,1,0,0,1
CO2 emission factors and primary energy factors should be taken from the Standard Assessment Procedure Table 12.,0,228_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,17,112,1,0,0,1,0,0,1,0,1,1,0,0,1
CO2 emission rates for new buildings.,0,28_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,6,37,0,0,0,0,0,0,0,0,1,1,0,0,0
CO2 emissions and primary energy associated with the thermal energy streams of a trigeneration scheme should be attributed in proportion to the output energy streams.,1,67_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,25,166,1,0,0,0,0,0,1,0,1,1,0,0,0
"Cable routes for at least one in every five parking spaces, as set out in paragraphs 3.1 to 3.4.",0,64_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,21,96,0,1,0,1,0,0,0,0,1,1,1,0,2
"Cable routes for at least one in every five remaining parking spaces, as described in paragraphs 4.1 to 4.6.",0,78_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,21,108,0,1,1,1,0,0,0,0,1,1,1,0,2
"Cable routes for electric vehicle charge points must be installed in any associated parking spaces which do not, in accordance with paragraph (2), have an electric vehicle charge point where(a)  a new residential building has more than 10 associated parking spaces; and(b)  there are more associated parking spaces than there are dwellings contained in the residential building.",0,9_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,59,378,1,0,0,1,0,1,0,0,1,1,2,1,2
Cable routes must still be provided for a minimum of one in five parking spaces.,1,71_UK_DocS_InfrastructureForChargingOfElectricalVehicles | 90_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,15,80,1,1,0,0,0,1,0,0,1,1,0,0,0
Cable routes should be provided for the additional parking spaces which would have required an electric vehicle charge point if the electrical power supply were sufficient.,1,44_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,26,172,1,0,0,0,0,0,1,0,1,1,0,0,0
Cable routes should be provided from a metered electricity supply point to the future connection location.,1,107_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,16,106,1,0,0,0,0,0,1,0,1,1,0,0,0
Calculating the seasonal energy efficiency ratio.,0,277_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,6,49,0,0,0,0,0,0,0,0,1,1,0,0,0
Calculation tables.,0,213_UK_DocG_Sanitation,accord_official,ACCORD Official,2,19,0,0,0,1,0,0,0,0,1,1,0,0,0
Calibration should be carried out in accordance with CIBSEs TM23.,1,342_UK_DocM_V2_AccessAndUseOfBuildings | 351_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,10,65,1,0,0,0,0,0,1,0,1,1,0,0,0
Capacities should be derived from the combined total of a buildings publicly accessible facilities.,1,162_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,14,99,1,0,0,0,0,0,1,0,1,1,0,0,0
"Car parking and setting down will satisfy Requirement M1 or M2 if:a. at least one parking bay designated for disabled people is provided on firm and level ground as close as feasible to the principal entrance of the building; b. the dimensions of the designated parking bays are as shown in Diagram 2 (with a 1200mm accessibility zone between,and a 1200mm safety zone on the vehicular side of, the parking bays , and with a dropped kerb when there is a pedestrian route at the Others side of the parking bay); c. the surface of the accessibility zone is firm , durable and slip resistant , with undulations not exceeding 3mm under a 1m straight edge for formless materials.",0,48_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,118,673,0,2,0,0,0,0,0,0,1,1,5,2,1
"Care should be taken not to close the terminals too far, because the fan unit will always maintain a constant volumetric flow rate.",0,207_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,23,131,1,0,1,0,0,0,1,0,1,1,1,0,0
Categorising residential buildings (simplified method).,0,22_UK_DocO_Overheating,accord_official,ACCORD Official,5,55,0,0,0,0,0,0,0,0,1,1,0,0,0
Category 2  accessible and adaptable dwellings.,0,31_UK_DocM_V1_AccessAndUseOfBuildings,accord_official,ACCORD Official,6,47,0,0,0,1,0,0,0,0,1,1,0,0,1
Category 3  wheelchair user dwellings.,0,60_UK_DocM_V1_AccessAndUseOfBuildings,accord_official,ACCORD Official,5,38,0,0,0,0,0,0,0,0,1,1,0,0,1
Cavity insulation.,0,7_UK_DocD_ToxicSubstances,accord_official,ACCORD Official,2,18,0,0,0,0,0,0,0,0,1,1,0,0,0
Cavity walls: the inner block leaf mortar joint should be fully filled and pointed within the cavity.,1,184_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,17,101,1,0,0,0,0,0,1,0,1,1,0,0,0
Certification by a building control body.,0,29_UK_DocP_ElectricalSafety,accord_official,ACCORD Official,6,41,0,0,0,0,0,0,0,0,1,1,0,0,0
"Changing places toilets, facilities designed for individuals with complex and multiple impairments who may require the assistance of up to two assistants, should be provided in addition to any wheelchair-accessible accommodation in separate-sex toilet washrooms, wheelchair-accessible unisex toileting facilities and baby changing facilities.",1,160_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,46,342,2,0,0,0,0,0,1,1,1,1,3,0,0
Checking design air flow rates against measured air  flow rates.,0,255_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,10,64,0,0,0,0,0,0,0,0,1,1,0,0,0
Checks should be made to determine that the background ventilator controls work and that they open and close correctly.,0,190_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,19,119,1,0,1,0,0,0,1,0,1,1,0,0,0
Combined temperature and pressure relief  valve means a mechanically operated valve that  opens to discharge water when a fixed (factory  set) temperature or fixed (factory set) pressure  is exceeded.,0,11_UK_DocG_Sanitation,accord_official,ACCORD Official,29,200,0,0,0,0,0,0,0,0,1,1,0,0,0
